"class","Precision","Recall","F1","TP","FP","FN"
"latitude",0.454072790294627,0.223931623931624,0.299942759015455,262,315,908
"multidimensional quantification",0.196261682242991,0.0159090909090909,0.0294323756131745,21,86,1299
"others",0.444064901793339,0.288888888888889,0.350050488051161,520,651,1280
"recovery degree",0.401661580196677,0.598232323232323,0.480624873199432,2369,3529,1591
"recovery rate",0.366255144032922,0.505432098765432,0.424732856105405,2047,3542,2003
"recovery time",0.295719844357977,0.146859903381643,0.196255648805681,304,724,1766
