"class","Precision","Recall","F1","TP","FP","FN"
"latitude",0.410018552875696,0.188888888888889,0.258630778232885,221,318,949
"multidimensional quantification",0.213592233009709,0.0166666666666667,0.0309205903021785,22,81,1298
"others",0.444915254237288,0.291666666666667,0.352348993288591,525,655,1275
"recovery degree",0.403636981645139,0.599747474747475,0.482527427874848,2375,3509,1585
"recovery rate",0.362587853667327,0.49679012345679,0.419210334409834,2012,3537,2038
"recovery time",0.305829596412556,0.164734299516908,0.214128728414443,341,774,1729
