"Category","Metric","Count","Percentage","Total_in_Category","Predictor"
"physical template/land use","latitude",4,6.77966101694915,59,"disturbance_type"
"structural","recovery rate",16,29.6296296296296,54,"disturbance_type"
"structural","recovery time",12,22.2222222222222,54,"disturbance_type"
"structural","recovery degree",10,18.5185185185185,54,"disturbance_type"
"structural","multidimensional quantification",6,11.1111111111111,54,"disturbance_type"
"structural","others",6,11.1111111111111,54,"disturbance_type"
"structural","latitude",4,7.40740740740741,54,"disturbance_type"
"animalia/both","recovery rate",32,29.0909090909091,110,"taxon"
"animalia/both","recovery degree",21,19.0909090909091,110,"taxon"
"animalia/both","others",20,18.1818181818182,110,"taxon"
"animalia/both","recovery time",18,16.3636363636364,110,"taxon"
"animalia/both","multidimensional quantification",11,10,110,"taxon"
"animalia/both","latitude",8,7.27272727272727,110,"taxon"
"microbe included","recovery degree",20,33.8983050847458,59,"taxon"
"microbe included","recovery rate",16,27.1186440677966,59,"taxon"
"microbe included","recovery time",11,18.6440677966102,59,"taxon"
"microbe included","latitude",5,8.47457627118644,59,"taxon"
"microbe included","multidimensional quantification",4,6.77966101694915,59,"taxon"
"microbe included","others",3,5.08474576271187,59,"taxon"
"no specific","recovery rate",20,36.3636363636364,55,"taxon"
"no specific","latitude",11,20,55,"taxon"
"no specific","recovery time",10,18.1818181818182,55,"taxon"
"no specific","others",8,14.5454545454545,55,"taxon"
"no specific","recovery degree",5,9.09090909090909,55,"taxon"
"no specific","multidimensional quantification",1,1.81818181818182,55,"taxon"
"plantae","recovery degree",86,33.7254901960784,255,"taxon"
"plantae","recovery rate",67,26.2745098039216,255,"taxon"
"plantae","recovery time",30,11.7647058823529,255,"taxon"
"plantae","others",29,11.3725490196078,255,"taxon"
"plantae","multidimensional quantification",28,10.9803921568627,255,"taxon"
"plantae","latitude",15,5.88235294117647,255,"taxon"
"forest","recovery degree",45,36,125,"habitat_type"
"forest","recovery rate",35,28,125,"habitat_type"
"forest","others",20,16,125,"habitat_type"
"forest","recovery time",10,8,125,"habitat_type"
"forest","multidimensional quantification",9,7.2,125,"habitat_type"
"forest","latitude",6,4.8,125,"habitat_type"
"marine/coastal","recovery degree",24,23.3009708737864,103,"habitat_type"
"marine/coastal","recovery rate",23,22.3300970873786,103,"habitat_type"
"marine/coastal","recovery time",23,22.3300970873786,103,"habitat_type"
"marine/coastal","others",12,11.6504854368932,103,"habitat_type"
"marine/coastal","multidimensional quantification",11,10.6796116504854,103,"habitat_type"
"marine/coastal","latitude",10,9.70873786407767,103,"habitat_type"
"no specific/major","recovery rate",22,38.5964912280702,57,"habitat_type"
"no specific/major","latitude",8,14.0350877192982,57,"habitat_type"
"no specific/major","recovery time",8,14.0350877192982,57,"habitat_type"
"no specific/major","others",7,12.280701754386,57,"habitat_type"
"no specific/major","recovery degree",7,12.280701754386,57,"habitat_type"
"no specific/major","multidimensional quantification",5,8.7719298245614,57,"habitat_type"
"open barren","recovery degree",15,34.0909090909091,44,"habitat_type"
"open barren","recovery rate",12,27.2727272727273,44,"habitat_type"
"open barren","recovery time",7,15.9090909090909,44,"habitat_type"
"open barren","multidimensional quantification",4,9.09090909090909,44,"habitat_type"
"open barren","latitude",3,6.81818181818182,44,"habitat_type"
"open barren","others",3,6.81818181818182,44,"habitat_type"
"open herbaceous","recovery degree",30,32.258064516129,93,"habitat_type"
"open herbaceous","recovery rate",21,22.5806451612903,93,"habitat_type"
"open herbaceous","others",14,15.0537634408602,93,"habitat_type"
"open herbaceous","multidimensional quantification",13,13.9784946236559,93,"habitat_type"
"open herbaceous","recovery time",9,9.67741935483871,93,"habitat_type"
"open herbaceous","latitude",6,6.45161290322581,93,"habitat_type"
"wetland","recovery rate",22,38.5964912280702,57,"habitat_type"
"wetland","recovery time",12,21.0526315789474,57,"habitat_type"
"wetland","recovery degree",11,19.2982456140351,57,"habitat_type"
"wetland","latitude",6,10.5263157894737,57,"habitat_type"
"wetland","others",4,7.01754385964912,57,"habitat_type"
"wetland","multidimensional quantification",2,3.50877192982456,57,"habitat_type"
"america","recovery degree",60,30.1507537688442,199,"institution_country"
"america","recovery rate",48,24.1206030150754,199,"institution_country"
"america","recovery time",31,15.5778894472362,199,"institution_country"
"america","others",23,11.5577889447236,199,"institution_country"
"america","latitude",22,11.0552763819095,199,"institution_country"
"america","multidimensional quantification",15,7.53768844221105,199,"institution_country"
"asia","recovery rate",23,35.3846153846154,65,"institution_country"
"asia","recovery degree",14,21.5384615384615,65,"institution_country"
"asia","others",10,15.3846153846154,65,"institution_country"
"asia","recovery time",10,15.3846153846154,65,"institution_country"
"asia","latitude",4,6.15384615384615,65,"institution_country"
"asia","multidimensional quantification",4,6.15384615384615,65,"institution_country"
"europe & africa","recovery rate",57,32.0224719101124,178,"institution_country"
"europe & africa","recovery degree",42,23.5955056179775,178,"institution_country"
"europe & africa","recovery time",25,14.0449438202247,178,"institution_country"
"europe & africa","others",22,12.3595505617978,178,"institution_country"
"europe & africa","multidimensional quantification",20,11.2359550561798,178,"institution_country"
"europe & africa","latitude",12,6.74157303370786,178,"institution_country"
"oceania","recovery degree",16,43.2432432432432,37,"institution_country"
"oceania","recovery rate",7,18.9189189189189,37,"institution_country"
"oceania","multidimensional quantification",5,13.5135135135135,37,"institution_country"
"oceania","others",5,13.5135135135135,37,"institution_country"
"oceania","recovery time",3,8.10810810810811,37,"institution_country"
"oceania","latitude",1,2.7027027027027,37,"institution_country"
"ecological applications","recovery degree",22,37.2881355932203,59,"journal"
"ecological applications","others",12,20.3389830508475,59,"journal"
"ecological applications","recovery time",11,18.6440677966102,59,"journal"
"ecological applications","recovery rate",10,16.9491525423729,59,"journal"
"ecological applications","latitude",3,5.08474576271187,59,"journal"
"ecological applications","multidimensional quantification",1,1.69491525423729,59,"journal"
"ecological indicators","recovery rate",19,32.2033898305085,59,"journal"
"ecological indicators","others",12,20.3389830508475,59,"journal"
"ecological indicators","recovery degree",9,15.2542372881356,59,"journal"
"ecological indicators","recovery time",9,15.2542372881356,59,"journal"
"ecological indicators","multidimensional quantification",7,11.864406779661,59,"journal"
"ecological indicators","latitude",3,5.08474576271187,59,"journal"
"ecology","recovery rate",29,37.1794871794872,78,"journal"
"ecology","recovery degree",20,25.6410256410256,78,"journal"
"ecology","latitude",10,12.8205128205128,78,"journal"
"ecology","others",8,10.2564102564103,78,"journal"
"ecology","recovery time",8,10.2564102564103,78,"journal"
"ecology","multidimensional quantification",3,3.84615384615385,78,"journal"
"ecology letters","recovery rate",17,42.5,40,"journal"
"ecology letters","recovery degree",8,20,40,"journal"
"ecology letters","multidimensional quantification",5,12.5,40,"journal"
"ecology letters","latitude",4,10,40,"journal"
"ecology letters","others",4,10,40,"journal"
"ecology letters","recovery time",2,5,40,"journal"
"function & molecular","recovery degree",13,43.3333333333333,30,"journal"
"function & molecular","recovery rate",6,20,30,"journal"
"function & molecular","recovery time",5,16.6666666666667,30,"journal"
"function & molecular","others",4,13.3333333333333,30,"journal"
"function & molecular","multidimensional quantification",2,6.66666666666667,30,"journal"
"function & molecular","latitude",0,0,30,"journal"
"general journal","recovery rate",18,35.2941176470588,51,"journal"
"general journal","latitude",10,19.6078431372549,51,"journal"
"general journal","recovery time",9,17.6470588235294,51,"journal"
"general journal","recovery degree",7,13.7254901960784,51,"journal"
"general journal","others",6,11.7647058823529,51,"journal"
"general journal","multidimensional quantification",1,1.96078431372549,51,"journal"
"journal of applied ecology","recovery degree",13,30.2325581395349,43,"journal"
"journal of applied ecology","multidimensional quantification",9,20.9302325581395,43,"journal"
"journal of applied ecology","recovery rate",7,16.2790697674419,43,"journal"
"journal of applied ecology","recovery time",6,13.953488372093,43,"journal"
"journal of applied ecology","latitude",4,9.30232558139535,43,"journal"
"journal of applied ecology","others",4,9.30232558139535,43,"journal"
"journal of ecology","recovery degree",32,45.0704225352113,71,"journal"
"journal of ecology","multidimensional quantification",11,15.4929577464789,71,"journal"
"journal of ecology","recovery rate",11,15.4929577464789,71,"journal"
"journal of ecology","recovery time",11,15.4929577464789,71,"journal"
"journal of ecology","others",5,7.04225352112676,71,"journal"
"journal of ecology","latitude",1,1.40845070422535,71,"journal"
"NEE & GEB & ecography","recovery rate",18,37.5,48,"journal"
"NEE & GEB & ecography","recovery degree",8,16.6666666666667,48,"journal"
"NEE & GEB & ecography","recovery time",8,16.6666666666667,48,"journal"
"NEE & GEB & ecography","multidimensional quantification",5,10.4166666666667,48,"journal"
"NEE & GEB & ecography","others",5,10.4166666666667,48,"journal"
"NEE & GEB & ecography","latitude",4,8.33333333333333,48,"journal"
