"class","Precision","Recall","F1","TP","FP","FN"
"latitude",0.466542750929368,0.214529914529915,0.293911007025761,251,287,919
"multidimensional quantification",0.218181818181818,0.0181818181818182,0.0335664335664336,24,86,1296
"others",0.439932318104907,0.288888888888889,0.348759221998659,520,662,1280
"recovery degree",0.405387318052535,0.611868686868687,0.487672335715005,2423,3554,1537
"recovery rate",0.373598087883802,0.501728395061728,0.42828538307514,2032,3407,2018
"recovery time",0.28202846975089,0.153140096618357,0.198497182216656,317,807,1753
