"class","Precision","Recall","F1","TP","FP","FN"
"latitude",0.459349593495935,0.193162393162393,0.271961492178099,226,266,944
"multidimensional quantification",0.2,0.00984848484848485,0.0187725631768953,13,52,1307
"others",0.459982409850484,0.290555555555556,0.356145726932244,523,614,1277
"recovery degree",0.40524453024453,0.636111111111111,0.495086477987421,2519,3697,1441
"recovery rate",0.361979631945685,0.500246913580247,0.42002695138385,2026,3571,2024
"recovery time",0.288528389339513,0.120289855072464,0.169792021820661,249,614,1821
