"run_id","description","n_samples","mean_macroF1","sd_macroF1","p05","p95","pooled_F1","accuracy","top3_predictors"
"rev.variable","1. Rev. target-variable priority",479,0.289,0.0447,NA,NA,0.2929,0.3841,"target_variable_group > approach > disturbance_pattern"
"rev.approach","2. Rev. approach priority",479,0.2921,0.0438,NA,NA,0.2952,0.385,"approach > target_variable_group > disturbance_pattern"
"rev.level","3. Rev. level priority",479,0.2952,0.0428,NA,NA,0.2989,0.386,"target_variable_group > approach > disturbance_pattern"
"rev.pulse","4. Rev. pulse-disturbance priority",479,0.2922,0.0432,NA,NA,0.2957,0.3804,"target_variable_group > approach > disturbance_pattern"
"rev.press","5. Rev. press-disturbance priority",479,0.2893,0.0406,NA,NA,0.293,0.3825,"target_variable_group > approach > disturbance_pattern"
"rev.all.disturbance","6. Rev. both disturbance priorities",479,0.2861,0.0409,NA,NA,0.2895,0.3775,"target_variable_group > approach > disturbance_pattern"
"rev.pattern","7. Multi-value pattern → press",479,0.294,0.0423,NA,NA,0.2984,0.3874,"target_variable_group > approach > disturbance_pattern"
"remove.multi","8. Remove multidimensional metric",435,0.371,0.0493,NA,NA,0.3756,0.4311,"target_variable_group > approach > disturbance_pattern"
"mincri.significant","9. mincriterion = 0.9",479,0.2848,0.0428,NA,NA,0.2886,0.3866,"target_variable_group > approach > disturbance_pattern"
