"class","Precision","Recall","F1","TP","FP","FN"
"latitude",0.377880184331797,0.14017094017094,0.204488778054863,164,270,1006
"multidimensional quantification",0.692307692307692,0.0136363636363636,0.0267459138187221,18,8,1302
"others",0.450389105058366,0.257222222222222,0.327439886845827,463,565,1337
"recovery degree",0.431771192281185,0.632828282828283,0.513314215485457,2506,3298,1454
"recovery rate",0.375173263514554,0.601481481481482,0.462107559518164,2436,4057,1614
"recovery time",0.401709401709402,0.113526570048309,0.177024482109228,235,350,1835
