"class","Precision","Recall","F1","TP","FP","FN"
"latitude",0.458620689655172,0.227350427350427,0.304,266,314,904
"multidimensional quantification",0.215189873417722,0.0128787878787879,0.0243030736240172,17,62,1303
"others",0.447748513169074,0.292777777777778,0.354047699025865,527,650,1273
"recovery degree",0.397411884896986,0.589393939393939,0.474727956879894,2334,3539,1626
"recovery rate",0.356724107301475,0.495802469135802,0.414918896580225,2008,3621,2042
"recovery time",0.304263565891473,0.151690821256039,0.202450032237266,314,718,1756
