"class","Precision","Recall","F1","TP","FP","FN"
"latitude",0.416666666666667,0.269230769230769,0.327102803738318,315,441,855
"multidimensional quantification",0.214285714285714,0.00681818181818182,0.013215859030837,9,33,1311
"others",0.426926483613818,0.267777777777778,0.329122567429157,482,647,1318
"recovery degree",0.403152008134215,0.600757575757576,0.482506845147551,2379,3522,1581
"recovery rate",0.363829035676439,0.508641975308642,0.424217462932455,2060,3602,1990
"recovery time",0.327272727272727,0.139130434782609,0.195254237288136,288,592,1782
