"class","Precision","Recall","F1","TP","FP","FN"
"latitude",0.421641791044776,0.193162393162393,0.264947245017585,226,310,944
"multidimensional quantification",0.17948717948718,0.0106060606060606,0.0200286123032904,14,64,1306
"others",0.44549356223176,0.288333333333333,0.35008431703204,519,646,1281
"recovery degree",0.4,0.596464646464646,0.47886467308667,2362,3543,1598
"recovery rate",0.349101902898808,0.484691358024691,0.405872014886798,1963,3660,2087
"recovery time",0.319849482596425,0.164251207729469,0.21704436642196,340,723,1730
