"class","Precision","Recall","F1","TP","FP","FN"
"latitude",0.449826989619377,0.222222222222222,0.297482837528604,260,318,910
"multidimensional quantification",0.254716981132075,0.0204545454545455,0.0378681626928471,27,79,1293
"others",0.44679054054054,0.293888888888889,0.35455764075067,529,655,1271
"recovery degree",0.404002713704206,0.601515151515152,0.48336038961039,2382,3514,1578
"recovery rate",0.366451843895453,0.505432098765432,0.424865089248651,2047,3539,2003
"recovery time",0.296078431372549,0.145893719806763,0.19546925566343,302,718,1768
