"class","Precision","Recall","F1","TP","FP","FN"
"latitude",0.460636515912898,0.235042735042735,0.311262026032824,275,322,895
"multidimensional quantification",0.243243243243243,0.0204545454545455,0.0377358490566038,27,84,1293
"others",0.43099787685775,0.225555555555556,0.296134208606856,406,536,1394
"recovery degree",0.39856762158561,0.604292929292929,0.480329185066239,2393,3611,1567
"recovery rate",0.37048087048087,0.521234567901235,0.433114485022569,2111,3587,1939
"recovery time",0.301571709233792,0.148309178743961,0.198834196891192,307,711,1763
